                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7519,                0.37083,                  0.925,                 1.7401,             0.00023351,             0.00023351,             0.00023351
                      2,                 1.4643,                  0.525,                0.95625,                 1.5804,              0.0004684,              0.0004684,              0.0004684
                      3,                 1.1411,                0.60625,                0.97708,                 1.4814,             0.00070014,             0.00070014,             0.00070014
                      4,                  1.011,                0.64583,                0.97083,                 1.4748,             0.00069986,             0.00069986,             0.00069986
                      5,                0.85457,                0.66667,                0.98542,                 1.4191,             0.00069515,             0.00069515,             0.00069515
                      6,                0.73554,                0.62917,                0.98542,                 1.4419,             0.00069044,             0.00069044,             0.00069044
                      7,                0.66058,                0.71042,                0.99375,                 1.3732,             0.00068573,             0.00068573,             0.00068573
                      8,                0.61442,                0.71458,                0.98333,                 1.3785,             0.00068101,             0.00068101,             0.00068101
                      9,                0.55306,                0.69167,                0.98542,                 1.3853,              0.0006763,              0.0006763,              0.0006763
                     10,                0.43099,                0.67708,                0.98333,                 1.3754,             0.00067159,             0.00067159,             0.00067159
                     11,                0.46704,                0.68333,                0.98542,                 1.3726,             0.00066688,             0.00066688,             0.00066688
                     12,                  0.437,                0.68125,                0.97708,                 1.3785,             0.00066216,             0.00066216,             0.00066216
                     13,                0.40789,                0.71875,                0.97917,                 1.3463,             0.00065745,             0.00065745,             0.00065745
                     14,                0.37629,                0.69375,                0.98542,                 1.3683,             0.00065274,             0.00065274,             0.00065274
                     15,                0.37735,                0.69375,                0.98333,                 1.3567,             0.00064803,             0.00064803,             0.00064803
                     16,                0.39409,                    0.7,                0.97708,                  1.351,             0.00064331,             0.00064331,             0.00064331
                     17,                0.34552,                    0.7,                0.98542,                 1.3398,              0.0006386,              0.0006386,              0.0006386
                     18,                0.30823,                0.68958,                0.98125,                 1.3495,             0.00063389,             0.00063389,             0.00063389
                     19,                0.25643,                0.71875,                0.98542,                 1.3306,             0.00062918,             0.00062918,             0.00062918
                     20,                0.24766,                0.71458,                0.99375,                 1.3333,             0.00062446,             0.00062446,             0.00062446
                     21,                0.27744,                0.71667,                 0.9875,                 1.3311,             0.00061975,             0.00061975,             0.00061975
                     22,                0.29535,                0.72083,                0.98958,                 1.3485,             0.00061504,             0.00061504,             0.00061504
                     23,                0.25795,                0.70625,                0.98333,                 1.3527,             0.00061033,             0.00061033,             0.00061033
                     24,                0.24495,                0.69583,                0.98958,                 1.3496,             0.00060561,             0.00060561,             0.00060561
                     25,                 0.2131,                0.67708,                 0.9875,                 1.3489,              0.0006009,              0.0006009,              0.0006009
                     26,                0.22357,                0.68542,                0.98125,                 1.3473,             0.00059619,             0.00059619,             0.00059619
                     27,                0.22598,                0.72083,                0.98958,                  1.322,             0.00059148,             0.00059148,             0.00059148
                     28,                 0.2178,                0.72292,                0.98958,                 1.3256,             0.00058677,             0.00058677,             0.00058677
                     29,                0.23414,                 0.7125,                0.98958,                 1.3174,             0.00058205,             0.00058205,             0.00058205
                     30,                0.21152,                0.73125,                0.98542,                 1.3201,             0.00057734,             0.00057734,             0.00057734
                     31,                0.16775,                0.72708,                 0.9875,                 1.3213,             0.00057263,             0.00057263,             0.00057263
                     32,                0.19332,                0.71458,                0.98542,                 1.3259,             0.00056792,             0.00056792,             0.00056792
                     33,                0.19971,                0.74167,                0.99167,                 1.3175,              0.0005632,              0.0005632,              0.0005632
                     34,                0.17914,                0.71458,                0.97917,                 1.3378,             0.00055849,             0.00055849,             0.00055849
                     35,                0.15839,                0.69375,                0.98125,                  1.355,             0.00055378,             0.00055378,             0.00055378
                     36,                 0.1646,                0.71667,                0.98542,                 1.3306,             0.00054907,             0.00054907,             0.00054907
                     37,                0.15916,                  0.675,                0.98333,                 1.3574,             0.00054435,             0.00054435,             0.00054435
                     38,                0.12159,                0.69792,                 0.9875,                 1.3462,             0.00053964,             0.00053964,             0.00053964
                     39,                0.11294,                0.70833,                0.98125,                 1.3374,             0.00053493,             0.00053493,             0.00053493
                     40,                0.13609,                 0.6875,                0.98333,                 1.3563,             0.00053022,             0.00053022,             0.00053022
                     41,                0.15405,                0.70833,                0.98542,                 1.3384,              0.0005255,              0.0005255,              0.0005255
                     42,                0.15921,                0.72292,                0.99167,                 1.3282,             0.00052079,             0.00052079,             0.00052079
                     43,                0.16135,                0.70625,                0.97917,                 1.3281,             0.00051608,             0.00051608,             0.00051608
                     44,                0.13533,                0.70417,                0.98958,                 1.3306,             0.00051137,             0.00051137,             0.00051137
                     45,                 0.1405,                 0.7125,                0.97917,                 1.3256,             0.00050665,             0.00050665,             0.00050665
                     46,                0.14478,                0.70833,                0.97917,                 1.3396,             0.00050194,             0.00050194,             0.00050194
                     47,                0.14412,                0.69792,                0.98125,                 1.3364,             0.00049723,             0.00049723,             0.00049723
                     48,                 0.1209,                0.70625,                0.98958,                  1.325,             0.00049252,             0.00049252,             0.00049252
                     49,                0.11413,                0.71667,                0.98958,                 1.3276,              0.0004878,              0.0004878,              0.0004878
                     50,                0.12981,                0.73542,                0.98958,                 1.3151,             0.00048309,             0.00048309,             0.00048309
                     51,                0.11344,                0.72292,                0.98125,                 1.3253,             0.00047838,             0.00047838,             0.00047838
                     52,                0.11195,                0.71458,                 0.9875,                  1.327,             0.00047367,             0.00047367,             0.00047367
                     53,                0.11371,                    0.7,                0.98542,                 1.3394,             0.00046896,             0.00046896,             0.00046896
                     54,                0.12201,                0.70208,                0.98125,                 1.3428,             0.00046424,             0.00046424,             0.00046424
                     55,                 0.1112,                0.72083,                0.98542,                 1.3212,             0.00045953,             0.00045953,             0.00045953
                     56,                0.12102,                0.71875,                0.98958,                 1.3269,             0.00045482,             0.00045482,             0.00045482
                     57,                0.10865,                0.69167,                0.98542,                 1.3362,             0.00045011,             0.00045011,             0.00045011
                     58,                0.11452,                0.69792,                0.97917,                 1.3356,             0.00044539,             0.00044539,             0.00044539
                     59,                 0.1199,                    0.7,                0.98125,                 1.3386,             0.00044068,             0.00044068,             0.00044068
                     60,                0.09759,                0.71458,                0.98333,                  1.323,             0.00043597,             0.00043597,             0.00043597
                     61,                0.13545,                0.68958,                0.98333,                 1.3554,             0.00043126,             0.00043126,             0.00043126
                     62,                  0.112,                0.69792,                0.98333,                 1.3372,             0.00042654,             0.00042654,             0.00042654
                     63,                 0.0768,                0.70833,                 0.9875,                 1.3397,             0.00042183,             0.00042183,             0.00042183
                     64,                0.09799,                0.70625,                0.98542,                  1.337,             0.00041712,             0.00041712,             0.00041712
                     65,                0.08515,                0.71042,                0.98542,                 1.3278,             0.00041241,             0.00041241,             0.00041241
                     66,                0.10584,                 0.7125,                0.97917,                 1.3319,             0.00040769,             0.00040769,             0.00040769
                     67,                0.08889,                    0.7,                0.97708,                 1.3416,             0.00040298,             0.00040298,             0.00040298
                     68,                0.08711,                0.71667,                0.98125,                 1.3202,             0.00039827,             0.00039827,             0.00039827
                     69,                0.09463,                    0.7,                0.98333,                 1.3347,             0.00039356,             0.00039356,             0.00039356
                     70,                0.06306,                    0.7,                  0.975,                 1.3313,             0.00038884,             0.00038884,             0.00038884
                     71,                0.08043,                0.71458,                0.97917,                 1.3201,             0.00038413,             0.00038413,             0.00038413
                     72,                0.08252,                0.72708,                0.97708,                 1.3143,             0.00037942,             0.00037942,             0.00037942
                     73,                0.05873,                0.72917,                0.97917,                 1.3085,             0.00037471,             0.00037471,             0.00037471
                     74,                0.06747,                0.72708,                0.98333,                  1.311,             0.00036999,             0.00036999,             0.00036999
                     75,                0.06576,                  0.725,                0.98333,                 1.3209,             0.00036528,             0.00036528,             0.00036528
                     76,                0.08404,                 0.7125,                0.98542,                  1.327,             0.00036057,             0.00036057,             0.00036057
                     77,                 0.0832,                 0.7125,                0.98333,                  1.337,             0.00035586,             0.00035586,             0.00035586
                     78,                0.06854,                0.73125,                0.98542,                 1.3174,             0.00035115,             0.00035115,             0.00035115
                     79,                0.06572,                0.73542,                0.98542,                  1.325,             0.00034643,             0.00034643,             0.00034643
                     80,                0.06257,                0.71458,                0.98958,                 1.3217,             0.00034172,             0.00034172,             0.00034172
                     81,                0.07693,                0.69167,                 0.9875,                 1.3321,             0.00033701,             0.00033701,             0.00033701
                     82,                0.08411,                0.69792,                0.98958,                 1.3475,              0.0003323,              0.0003323,              0.0003323
                     83,                0.06891,                0.70208,                0.98958,                 1.3312,             0.00032758,             0.00032758,             0.00032758
                     84,                0.05269,                  0.725,                 0.9875,                 1.3308,             0.00032287,             0.00032287,             0.00032287
                     85,                0.07099,                0.72083,                0.99375,                 1.3192,             0.00031816,             0.00031816,             0.00031816
                     86,                0.06673,                0.72083,                0.99375,                 1.3154,             0.00031345,             0.00031345,             0.00031345
                     87,                0.06142,                0.72083,                0.99167,                 1.3215,             0.00030873,             0.00030873,             0.00030873
                     88,                0.05136,                0.72917,                0.99375,                 1.3079,             0.00030402,             0.00030402,             0.00030402
                     89,                0.05048,                0.73125,                0.99167,                 1.3165,             0.00029931,             0.00029931,             0.00029931
                     90,                0.06955,                0.74792,                0.98958,                 1.3019,              0.0002946,              0.0002946,              0.0002946
                     91,                0.06909,                0.73125,                 0.9875,                 1.3077,             0.00028988,             0.00028988,             0.00028988
                     92,                0.04451,                0.72083,                 0.9875,                 1.3171,             0.00028517,             0.00028517,             0.00028517
                     93,                0.05932,                0.71458,                0.99375,                  1.332,             0.00028046,             0.00028046,             0.00028046
                     94,                0.05702,                0.71042,                0.98958,                 1.3231,             0.00027575,             0.00027575,             0.00027575
                     95,                0.05126,                  0.725,                0.98958,                 1.3143,             0.00027103,             0.00027103,             0.00027103
                     96,                0.05168,                0.71042,                0.98958,                 1.3291,             0.00026632,             0.00026632,             0.00026632
                     97,                0.04847,                0.72292,                0.99375,                 1.3208,             0.00026161,             0.00026161,             0.00026161
                     98,                0.05763,                 0.7125,                 0.9875,                 1.3215,              0.0002569,              0.0002569,              0.0002569
                     99,                0.07215,                0.70625,                 0.9875,                 1.3324,             0.00025218,             0.00025218,             0.00025218
                    100,                0.05913,                0.71458,                0.98958,                 1.3259,             0.00024747,             0.00024747,             0.00024747
                    101,                0.05406,                0.73542,                0.98542,                 1.3182,             0.00024276,             0.00024276,             0.00024276
                    102,                0.05319,                0.71667,                0.98333,                 1.3306,             0.00023805,             0.00023805,             0.00023805
                    103,                0.04454,                0.71875,                 0.9875,                 1.3196,             0.00023334,             0.00023334,             0.00023334
                    104,                0.03619,                0.70833,                 0.9875,                 1.3303,             0.00022862,             0.00022862,             0.00022862
                    105,                0.04609,                0.71667,                0.98958,                 1.3157,             0.00022391,             0.00022391,             0.00022391
                    106,                0.05261,                0.72292,                0.98958,                 1.3226,              0.0002192,              0.0002192,              0.0002192
                    107,                0.04063,                  0.725,                0.98958,                 1.3135,             0.00021449,             0.00021449,             0.00021449
                    108,                0.04693,                0.73333,                0.99167,                 1.3071,             0.00020977,             0.00020977,             0.00020977
                    109,                0.04668,                0.72708,                 0.9875,                 1.3148,             0.00020506,             0.00020506,             0.00020506
                    110,                0.05235,                0.70208,                0.98333,                 1.3229,             0.00020035,             0.00020035,             0.00020035
                    111,                0.04226,                0.71875,                0.98542,                 1.3185,             0.00019564,             0.00019564,             0.00019564
                    112,                0.05325,                 0.7125,                0.98542,                 1.3118,             0.00019092,             0.00019092,             0.00019092
                    113,                0.03899,                0.71875,                0.98958,                 1.3177,             0.00018621,             0.00018621,             0.00018621
                    114,                0.02939,                0.72917,                 0.9875,                 1.3173,              0.0001815,              0.0001815,              0.0001815
                    115,                0.04048,                0.73542,                0.98958,                 1.3046,             0.00017679,             0.00017679,             0.00017679
                    116,                0.03216,                0.73333,                0.98958,                 1.3036,             0.00017207,             0.00017207,             0.00017207
                    117,                0.03846,                0.73542,                0.99375,                 1.2987,             0.00016736,             0.00016736,             0.00016736
                    118,                0.02599,                0.73542,                0.99167,                 1.3101,             0.00016265,             0.00016265,             0.00016265
                    119,                0.03921,                0.73125,                0.99375,                 1.3127,             0.00015794,             0.00015794,             0.00015794
                    120,                0.04064,                0.74167,                0.98958,                 1.3081,             0.00015322,             0.00015322,             0.00015322
                    121,                0.03515,                0.72917,                0.98958,                 1.3163,             0.00014851,             0.00014851,             0.00014851
                    122,                 0.0348,                0.71875,                0.98958,                 1.3204,              0.0001438,              0.0001438,              0.0001438
                    123,                0.03148,                0.71875,                 0.9875,                 1.3175,             0.00013909,             0.00013909,             0.00013909
                    124,                0.03956,                0.72083,                0.98333,                 1.3124,             0.00013437,             0.00013437,             0.00013437
                    125,                0.04644,                0.72292,                0.98958,                 1.3121,             0.00012966,             0.00012966,             0.00012966
                    126,                0.03939,                0.71667,                0.98958,                  1.308,             0.00012495,             0.00012495,             0.00012495
                    127,                0.01881,                 0.7125,                0.98958,                 1.3177,             0.00012024,             0.00012024,             0.00012024
                    128,                0.04073,                0.71042,                 0.9875,                 1.3209,             0.00011553,             0.00011553,             0.00011553
                    129,                0.02324,                0.71042,                 0.9875,                 1.3182,             0.00011081,             0.00011081,             0.00011081
                    130,                0.03178,                0.71042,                0.98958,                 1.3186,              0.0001061,              0.0001061,              0.0001061
                    131,                0.02307,                 0.7125,                 0.9875,                 1.3226,             0.00010139,             0.00010139,             0.00010139
                    132,                0.03131,                0.71875,                0.98958,                 1.3169,             9.6676e-05,             9.6676e-05,             9.6676e-05
                    133,                0.02232,                0.71458,                0.98958,                  1.321,             9.1963e-05,             9.1963e-05,             9.1963e-05
                    134,                0.02198,                0.71875,                0.98958,                 1.3054,             8.7251e-05,             8.7251e-05,             8.7251e-05
                    135,                0.03231,                0.71458,                 0.9875,                 1.3272,             8.2538e-05,             8.2538e-05,             8.2538e-05
                    136,                0.02763,                0.72083,                 0.9875,                 1.3207,             7.7826e-05,             7.7826e-05,             7.7826e-05
                    137,                0.03031,                0.71667,                0.98542,                 1.3223,             7.3114e-05,             7.3114e-05,             7.3114e-05
                    138,                0.02534,                0.71667,                0.98333,                 1.3157,             6.8401e-05,             6.8401e-05,             6.8401e-05
                    139,                0.02861,                0.72917,                0.98542,                  1.312,             6.3689e-05,             6.3689e-05,             6.3689e-05
                    140,                0.02878,                0.72917,                0.98333,                 1.3147,             5.8976e-05,             5.8976e-05,             5.8976e-05
                    141,                0.03528,                0.72292,                0.98542,                 1.3123,             5.4264e-05,             5.4264e-05,             5.4264e-05
                    142,                 0.0241,                0.73333,                0.98542,                  1.304,             4.9552e-05,             4.9552e-05,             4.9552e-05
                    143,                0.03353,                  0.725,                 0.9875,                 1.3135,             4.4839e-05,             4.4839e-05,             4.4839e-05
                    144,                0.02247,                0.71667,                 0.9875,                 1.3126,             4.0127e-05,             4.0127e-05,             4.0127e-05
                    145,                0.03382,                0.73542,                 0.9875,                 1.3189,             3.5414e-05,             3.5414e-05,             3.5414e-05
                    146,                0.03525,                0.73333,                0.98542,                 1.3181,             3.0702e-05,             3.0702e-05,             3.0702e-05
                    147,                0.02937,                0.72708,                0.98542,                 1.3159,              2.599e-05,              2.599e-05,              2.599e-05
                    148,                0.02276,                 0.7375,                 0.9875,                 1.3082,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    149,                0.02549,                0.73333,                 0.9875,                 1.3141,             1.6565e-05,             1.6565e-05,             1.6565e-05
                    150,                0.04831,                0.73958,                0.98958,                 1.3171,             1.1852e-05,             1.1852e-05,             1.1852e-05
